Table Name,Column Name,Data Type,Sensitivity Level,Example Values
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB65XRHA71518948259698
Employee,EmployeeID,TEXT,Private,Decide baby leader.
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Finance,CreditCardNumber,TEXT,Secret,GB85XRTM13148698631328
Sales,LoyaltyPoints,INT,Private,67
Employee,PhoneNumber,TEXT,Private,001-364-768-9096x2891
ITSecurity,LoginAttempts,INT,Private,52
ITSecurity,APIKey,TEXT,Secret,eeb3a5978f850e487fbac847e6580725
Finance,CreditCardNumber,TEXT,Secret,GB67BWME64374574385546
Finance,BankAccountNumber,TEXT,Confidential,GB69PROQ46137823894300
Sales,LoyaltyPoints,INT,Private,96
Employee,Address,TEXT,Private,"525 Julia Path
Port Philipbury, MD 50861"
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB23QVPL79061053951061
Sales,OrderHistory,TEXT,Public,Professor but smile.
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB68CRSA43066603902722
Finance,BankAccountNumber,TEXT,Confidential,GB71TEQN97658960832304
Sales,OrderHistory,TEXT,Public,Road style.
Employee,DateOfBirth,DATE,Private,2022-08-04
Employee,DateOfBirth,DATE,Private,2023-04-16
Finance,CompanyBudget,DECIMAL,Confidential,67646.17
Finance,TaxID,TEXT,Secret,GB57PABO15749569135410
Employee,EmployeeID,TEXT,Private,Career risk war.
Employee,Address,TEXT,Private,"317 Veronica Lake
Owenshaven, SD 63847"
Sales,OrderHistory,TEXT,Public,Pass home from.
Employee,Gender,TEXT,Private,female
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Employee,PhoneNumber,TEXT,Private,618.762.5212
Healthcare,Prescription,TEXT,Confidential,Help special.
ITSecurity,PasswordHash,TEXT,Secret,c617b93753881fa69395689ebb20094418833035bfaf0c375aeb118fae317682
ITSecurity,PasswordHash,TEXT,Secret,60c782a1504780361ac80566d81a1a1aeab47124807e9b61d2cc0b4dbc2f3d34
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB80UOPZ67846259430450
Employee,DateOfBirth,DATE,Private,1995-03-04
Employee,DateOfBirth,DATE,Private,1972-10-09
Healthcare,Prescription,TEXT,Confidential,Defense bad point.
Sales,CustomerFeedback,TEXT,Public,Structure without.
Sales,DiscountCoupons,TEXT,Public,A cause let wide.
Employee,DateOfBirth,DATE,Private,1990-07-15
Sales,CustomerFeedback,TEXT,Public,Health suddenly.
Sales,LoyaltyPoints,INT,Private,93
ITSecurity,APIKey,TEXT,Secret,00666d05de2bc1ad30e251c0e5b4c01e
Finance,CompanyBudget,DECIMAL,Confidential,85449.84
Finance,LoanAmount,DECIMAL,Confidential,66483.97
Employee,DateOfBirth,DATE,Private,1994-03-23
Healthcare,MedicalHistory,TEXT,Confidential,Rich make type.
Sales,DiscountCoupons,TEXT,Public,Generation.
Sales,LoyaltyPoints,INT,Private,68
Employee,JobTitle,TEXT,Private,Education difficult.
Employee,JobTitle,TEXT,Private,How inside fund.
Employee,Department,TEXT,Private,Range report matter.
Employee,JobTitle,TEXT,Private,Fact truth give bag.
Healthcare,MedicalHistory,TEXT,Confidential,Tend technology.
Sales,DiscountCoupons,TEXT,Public,Success firm again.
Healthcare,MedicalHistory,TEXT,Confidential,Group economic.
Employee,FullName,TEXT,Private,Gregory Trevino
Employee,JobTitle,TEXT,Private,Us why quite clear.
Sales,CustomerFeedback,TEXT,Public,Book world daughter.
Employee,Department,TEXT,Private,General tough.
Finance,CreditCardNumber,TEXT,Secret,GB52CGZQ80209034302683
Employee,Age,INT,Private,95
Finance,CompanyBudget,DECIMAL,Confidential,72451.51
Employee,Age,INT,Private,64
Employee,EmployeeID,TEXT,Private,Manage method up.
Healthcare,Prescription,TEXT,Confidential,Important avoid.
Finance,TaxID,TEXT,Secret,GB05BOBY67092103797345
Healthcare,Diagnosis,TEXT,Confidential,Recent find capital.
Healthcare,Diagnosis,TEXT,Confidential,Mouth here.
Employee,ManagerName,TEXT,Private,Robert Alvarez
Employee,Age,INT,Private,29
Sales,LoyaltyPoints,INT,Private,41
Sales,DiscountCoupons,TEXT,Public,Better lot trial.
Employee,Age,INT,Private,67
ITSecurity,PasswordHash,TEXT,Secret,7fccf8d6e22b62bde55c9761545f7a0dc0133cc5a63d8b10ed9f2e270d96d0ee
