Table Name,Column Name,Data Type,Sensitivity Level,Example Values
Employee,PhoneNumber,TEXT,Private,(237)650-0818x8215
Employee,Address,TEXT,Private,"2594 Mark Stravenue Suite 210
Horntown, MN 06702"
Finance,BankAccountNumber,TEXT,Confidential,GB44GOIP74942905636777
Employee,FullName,TEXT,Private,Ann Golden
Healthcare,Prescription,TEXT,Confidential,Information.
Healthcare,Prescription,TEXT,Confidential,Month structure.
ITSecurity,APIKey,TEXT,Secret,e1a17534a3844ce05f203107ca102a87
Employee,Gender,TEXT,Private,female
ITSecurity,SessionToken,TEXT,Secret,0e8643b8-6dae-4e60-8406-16846b842053
Healthcare,Diagnosis,TEXT,Confidential,Of pick total.
Sales,CustomerFeedback,TEXT,Public,Employee.
Employee,Gender,TEXT,Private,trans
Finance,TaxID,TEXT,Secret,GB15LMVP36900851173552
Finance,CreditCardNumber,TEXT,Secret,GB17DUWE66453822158999
ITSecurity,TwoFactorEnabled,BOOLEAN,Confidential,False
Finance,BankAccountNumber,TEXT,Confidential,GB69FULC67323125087610
Employee,ManagerName,TEXT,Private,Briana Yoder
Employee,Address,TEXT,Private,"Unit 9565 Box 7080
DPO AP 82175"
Finance,InvestmentValue,DECIMAL,Confidential,63081.14
Finance,LoanAmount,DECIMAL,Confidential,14667.84
Finance,CompanyBudget,DECIMAL,Confidential,63229.8
Finance,TaxID,TEXT,Secret,GB79BBQS10136511233414
Employee,Age,INT,Private,47
Sales,DiscountCoupons,TEXT,Public,Trouble discuss.
Employee,DateOfBirth,DATE,Private,2003-06-17
ITSecurity,APIKey,TEXT,Secret,3f45984d457f9287fcee61a3b256c3f9
Employee,Address,TEXT,Private,"9879 Theresa Glen Apt. 858
New Johnmouth, LA 86267"
Employee,JobTitle,TEXT,Private,Education about.
Employee,EmployeeID,TEXT,Private,Individual among.
ITSecurity,PasswordHash,TEXT,Secret,3ac2d48a1fe300904e1cd6785ee4e74c7c5509197f6628f9329613f4e770be79
Employee,FullName,TEXT,Private,Brent Klein
Employee,EmployeeID,TEXT,Private,Fear or market that.
Employee,Email,TEXT,Private,hansensara@example.org
Healthcare,Diagnosis,TEXT,Confidential,Lawyer American.
Employee,FullName,TEXT,Private,Sandra Sullivan
Employee,ManagerName,TEXT,Private,Kelly Curtis
Employee,JobTitle,TEXT,Private,Black allow.
ITSecurity,LoginAttempts,INT,Private,96
Healthcare,HealthInsuranceNumber,TEXT,Secret,GB30DATA94398663439634
Finance,InvestmentValue,DECIMAL,Confidential,49467.84
Sales,CustomerFeedback,TEXT,Public,Health language.
